species,tissue_type,cancer_type,cell_name,cellontology_id,marker,Symbol,GeneID
Human,Abdominal fat pad,Normal,Brown adipocyte,CL_0000449,FABP4,FABP4,2167
Human,Abdominal fat pad,Normal,Brown adipocyte,CL_0000449,PDGFR? ,,
Human,Abdominal fat pad,Normal,Brown adipocyte,CL_0000449,UCP1,UCP1,7350
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Wisp1,Ccn4,22402
Mouse,Muscle,Normal,Myoblast,CL_0000056,Myod1,Myod1,17927
Mouse,Muscle,Normal,Muscle satellite cell,CL_0000514,Myf5,Myf5,17877
Mouse,Muscle,Normal,Myocyte,CL_0000187,Ckm,Ckm,12715
Mouse,Muscle,Normal,Myocyte,CL_0000187,Acta1,Acta1,11459
Mouse,Muscle,Normal,Lymphatic endothelial cell,CL_0002138,Ccl21a,Ccl21a,18829
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Pdgfra,Pdgfra,18595
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Cxcl5,Cxcl5,20311
Mouse,Muscle,Normal,Tenocyte,CL_0000388,Fmod,Fmod,14264
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Ccl7,Ccl7,20306
Mouse,Muscle,Normal,Muscle satellite cell,CL_0000514,Pax7,Pax7,18509
Mouse,Muscle,Normal,Endothelial cell,CL_0000115,Cdh5,Cdh5,12562
Mouse,Muscle,Normal,Lymphatic endothelial cell,CL_0002138,Lyve1,Lyve1,114332
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Ly6a,Ly6a,110454
Mouse,Muscle,Normal,Muscle satellite cell,CL_0000514,Asb5,Asb5,76294
Mouse,Muscle,Normal,Tenocyte,CL_0000388,Tnmd,Tnmd,64103
Mouse,Muscle,Normal,Endothelial cell,CL_0000115,Pecam1,Pecam1,18613
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Tnc,Tnc,21923
Mouse,Muscle,Normal,Fibro-adipogenic progenitor cell,,Dpp4,Dpp4,13482
Human,Adipose tissue,Normal,Stem cell,CL_0000034,FABP4,FABP4,2167
Human,Adipose tissue,Normal,Pan fibroblast,,vimentin,,
Human,Adipose tissue,Normal,Pan fibroblast,,collagen1a2,,
Human,Adipose tissue,Normal,Pan fibroblast,,collagen3a1,,
Mouse,Adipose tissue,Normal,Mesenchymal stem cell,CL_0000134,COL3A1,,
Mouse,Adipose tissue,Normal,Mesenchymal stem cell,CL_0000134,TGFBR2,,
Mouse,White adipose tissue,Normal,Adipose-derived stem cell,,Retn,Retn,57264
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,F4/80,Adgre1,13733
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD9,,
Mouse,Adipose tissue,Normal,Macrophage,CL_0000235,CD11b,,
Mouse,Adipose tissue,Normal,M1 macrophage,CL_0000863,CD11c,,
